7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1643757720, +3.03, +23.429,  +1.81367, +1020.000, -456.000, -60.000
1643757840, +3.03, +23.420,  +1.72696, +1014.000, -448.000, -50.000
1643757960, +3.03, +23.412,  +1.80128, +1001.000, -456.000,  +0.000
1643758080, +3.03, +23.437,  +1.72077, +988.000, -464.000, +35.000
1643758200, +3.03, +23.412,  +1.75483, +1016.000, -456.000, -52.000
1643758320, +3.03, +23.437,  +1.93134, +1014.000, -452.000, -48.000
1643758440, +3.03, +23.420,  +1.67742, +999.000, -458.000,  +0.000
1643758560, +3.03, +23.429,  +1.77032, +1009.000, -456.000, -32.000
1643758680, +3.03, +23.429,  +1.73316, +1009.000, -456.000, -29.000
1643758800, +3.03, +23.395,  +1.85083, +1020.000, -461.000, -64.000
1643758920, +3.03, +23.420,  +1.80128, +1011.000, -452.000, -40.000
1643759040, +3.03, +23.420,  +1.77651, +1001.000, -456.000,  -8.000
1643759160, +3.03, +23.403,  +1.70529, +992.000, -463.000, +28.000
1643759280, +3.03, +23.412,  +1.77341, +1012.000, -448.000, -44.000
1643759400, +3.03, +23.412,  +1.87870, +1016.000, -452.000, -56.000
1643759520, +3.03, +23.412,  +1.77032, +1000.000, -456.000,  +0.000
1643759640, +3.03, +23.403,  +1.73625, +1024.000, -464.000, -64.000
1643759760, +3.03, +23.387,  +1.68671, +1020.000, -456.000, -64.000
1643759880, +3.03, +23.387,  +1.75174, +1024.000, -480.000, -58.000
1643760000, +3.03, +23.378,  +1.65574, +984.000, -464.000, +48.000
1643760120, +3.03, +23.362,  +1.79509, +1016.000, -456.000, -60.000
1643760240, +3.03, +23.378,  +1.75174, +1008.000, -456.000, -24.000
1643760360, +3.03, +23.378,  +1.68981, +1024.000, -464.000, -64.000
1643760480, +3.03, +23.345,  +1.93444, +999.000, -461.000,  +3.000
1643760600, +3.03, +23.362,  +1.70839, +1016.000, -452.000, -48.000
1643760720, +3.03, +23.345,  +1.80748, +1020.000, -458.000, -64.000
1643760840, +3.03, +23.353,  +1.66503, +1008.000, -456.000, -36.000
1643760960, +3.03, +23.353,  +1.85392, +921.000, -464.000, +126.000
1643761080, +3.03, +23.345,  +1.61239, +923.000, -461.000, +129.000
1643761200, +3.03, +23.337,  +1.80128, +1015.000, -452.000, -52.000
1643761320, +3.03, +23.312,  +1.66194, +920.000, -461.000, +131.000
1643761440, +3.03, +23.303,  +1.70839, +921.000, -461.000, +127.000
1643761560, +3.03, +23.320,  +1.79819, +1008.000, -456.000, -32.000
1643761680, +3.03, +23.303,  +1.60929, +999.000, -456.000,  +0.000
1643761800, +3.03, +23.312,  +1.67742, +1020.000, -496.000, -33.000
1643761920, +3.03, +23.328,  +1.65265, +920.000, -458.000, +127.000
1643762040, +3.03, +23.312,  +1.73316, +1024.000, -480.000, -56.000
1643762160, +3.03, +23.286,  +1.61858, +1024.000, -477.000, -60.000
1643762280, +3.03, +23.312,  +1.71148, +1024.000, -464.000, -64.000
1643762400, +3.03, +23.295,  +1.76412, +1020.000, -456.000, -64.000
1643762520, +3.03, +23.320,  +1.78270, +1024.000, -464.000, -64.000
1643762640, +3.03, +23.303,  +1.79819, +1024.000, -468.000, -64.000
1643762760, +3.03, +23.328,  +1.74864, +1024.000, -464.000, -64.000
1643762880, +3.03, +23.337,  +1.62168, +1001.000, -456.000,  -8.000
1643763000, +3.03, +23.337,  +1.75174, +1008.000, -456.000, -28.000
1643763120, +3.03, +23.378,  +1.60310, +1006.000, -456.000, -24.000
1643763240, +3.03, +23.403,  +1.68981, +1008.000, -456.000, -26.000
