DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),ODO (% Sat),ODO (mg/L)
5/13/2021,9:14:55 AM,<None>,,0.00000 °,0.00000 °,759.6,167,162,0.08,161.5,105,79.9,-3.3,-3.3,100.2,8.04
5/13/2021,11:37:40 AM,<None>,,0.00000 °,0.00000 °,759.1,37677.5,35413.3,22.23,35167.4,23019,83,12.7,12.7,111.6,6.87
5/13/2021,11:37:45 AM,<None>,,0.00000 °,0.00000 °,759.1,68604.2,64525.5,43.57,64082.8,41942,83,-8,-8,111.6,6.82
5/13/2021,11:38:11 AM,<None>,,-17.53995 °,-149.90036 °,759.1,68586,64511.9,43.56,64069.7,41933,83,-8,-8,112.3,6.86
5/13/2021,11:45:39 AM,<None>,,-17.53962 °,-149.90041 °,758.8,68404.4,64319.7,43.41,63876.2,41808,83,-8,-8,111.2,6.8
5/13/2021,11:45:54 AM,<None>,,-17.53962 °,-149.90042 °,758.8,68412.8,64330.7,43.42,63887.5,41815,83,-8,-8,111.1,6.79
5/13/2021,11:47:14 AM,<None>,,-17.53961 °,-149.90050 °,758.8,68478.3,64409.3,43.48,63967.6,41866,83,-8,-8,113.2,6.92
5/13/2021,11:48:14 AM,<None>,,-17.53956 °,-149.90050 °,758.8,68451.1,64371.9,43.45,63929.1,41842,83,-8,-8,112.7,6.89
5/13/2021,11:48:55 AM,<None>,,-17.53959 °,-149.90051 °,758.8,68493.9,64426,43.5,63984.5,41877,83,-8,-8,113.9,6.96
5/13/2021,11:49:46 AM,<None>,,-17.53965 °,-149.90053 °,758.8,68545.8,64473.1,43.53,64031.1,41908,83,-8,-8,114.9,7.03
5/13/2021,11:50:38 AM,<None>,,-17.53970 °,-149.90053 °,758.9,68570.1,64479.8,43.54,64035.7,41912,83,-8,-8,115.3,7.05
5/13/2021,11:51:30 AM,<None>,,-17.53976 °,-149.90054 °,758.9,68662.1,64538.5,43.58,64090.7,41950,83,-8,-8,116.4,7.11
5/13/2021,11:52:30 AM,<None>,,-17.53985 °,-149.90056 °,758.8,68925.1,64718.1,43.72,64260.9,42067,83.1,-8,-8,118.1,7.2
5/13/2021,11:53:30 AM,<None>,,-17.53993 °,-149.90059 °,759,69012.3,64774.4,43.76,64313.7,42103,83.2,-8,-8,118.1,7.2
5/13/2021,11:54:18 AM,<None>,,-17.53998 °,-149.90062 °,758.9,69094.6,64815.6,43.79,64350.2,42130,83.2,-8,-8,116.6,7.1
5/13/2021,11:54:50 AM,<None>,,-17.54001 °,-149.90065 °,758.9,69071.4,64792.4,43.77,64327,42115,83.2,-8,-8,116.5,7.09
5/13/2021,11:55:23 AM,<None>,,-17.54004 °,-149.90067 °,758.9,69047.9,64759.6,43.75,64293.2,42094,83.2,-8,-8,115.4,7.03
5/13/2021,11:55:53 AM,<None>,,-17.54008 °,-149.90070 °,758.9,69084.3,64774.3,43.76,64305.4,42103,83.3,-8,-8,113.6,6.91
5/13/2021,11:56:11 AM,<None>,,-17.54010 °,-149.90070 °,758.8,69095.3,64779,43.76,64309.3,42106,83.3,-8,-8,112.3,6.83
