KorDSS MEASUREMENT DATA FILE EXPORT

FILE CREATED:,5/22/2021 7:31:14 PM


DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Temp (°C),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),pH,pH (mV),ODO (% Sat),ODO (mg/L),Turbidity (FNU),TSS (mg/L)
5/20/2021,8:30:09 AM,<None>,,-17.51649 °,-149.91257 °,758.2,27.7,38698.8,36784.6,23.20,36578.6,23910,25.8,13.6,13.6,14.74,-578.6,56.3,3.94,3.83,0
5/20/2021,8:30:12 AM,<None>,,-17.51649 °,-149.91257 °,758.2,27.3,33848.6,32443.5,20.20,32293.3,21088,29.5,11.5,11.5,14.90,-585.6,52.9,3.76,5.51,0
5/20/2021,8:52:51 AM,<None>,,0.00000 °,0.00000 °,758.3,25.5,136.7,135.4,0.06,135.2,88,7317.4,-3.0,-3.0,15.09,-591.8,100.9,8.26,11.44,0
5/20/2021,8:52:51 AM,<None>,,0.00000 °,0.00000 °,758.3,25.5,135.9,134.6,0.06,134.5,88,7359.4,-3.0,-3.0,15.14,-594.3,100.9,8.26,11.36,0
5/20/2021,8:54:21 AM,<None>,,-17.51580 °,-149.91182 °,758.4,24.5,1329.7,1341.9,0.67,1343.2,872,752.1,-2.3,-2.3,15.54,-611.4,51.0,4.23,4.56,0
5/20/2021,8:54:27 AM,<None>,,-17.51581 °,-149.91182 °,758.4,24.5,1321.3,1333.3,0.66,1334.5,867,756.8,-2.3,-2.3,15.54,-611.4,49.4,4.10,3.87,0
5/20/2021,9:01:00 AM,<None>,,-17.51510 °,-149.91147 °,758.5,24.5,940.0,949.0,0.47,949.9,617,1063.8,-2.5,-2.5,15.41,-605.4,61.6,5.12,177.83,0
5/20/2021,10:29:51 AM,<None>,,-17.54648 °,-149.88942 °,758.3,28.0,17535.7,16572.7,9.68,16468.6,10772,57.0,3.5,3.5,15.45,-611.4,98.4,7.30,170.95,0
5/20/2021,10:36:47 AM,<None>,,-17.54721 °,-149.88875 °,758.3,27.9,56229.8,53263.9,35.07,52943.8,34622,17.8,22.5,22.5,15.31,-605.1,82.1,5.29,12.25,0
5/20/2021,10:44:43 AM,<None>,,-17.54721 °,-149.88873 °,758.2,28.0,56308.3,53271.3,35.07,52943.1,34626,17.8,22.5,22.5,15.12,-596.2,83.3,5.36,6.71,0
5/20/2021,10:44:55 AM,<None>,,-17.54720 °,-149.88873 °,758.2,27.9,55750.7,52792.2,34.72,52472.7,34315,17.9,22.2,22.2,15.12,-596.4,82.0,5.30,5.81,0
5/20/2021,10:45:05 AM,<None>,,-17.54720 °,-149.88873 °,758.2,27.9,54116.4,51295.6,33.62,50991.3,33342,18.5,21.4,21.4,15.13,-596.9,81.6,5.30,8.73,0
5/20/2021,10:46:15 AM,<None>,,-17.54720 °,-149.88875 °,758.2,28.0,55770.8,52762.6,34.70,52437.5,34296,17.9,22.2,22.2,15.07,-593.9,82.8,5.34,5.14,0
5/20/2021,10:46:55 AM,<None>,,-17.54720 °,-149.88875 °,758.2,27.9,55105.4,52170.0,34.26,51853.0,33910,18.1,21.9,21.9,15.06,-593.6,81.9,5.30,9.21,0
