Name,Latitude,Longitude
CT317,-17.54077,-149.89879
CT343,-17.54071,-149.89896
CT334,-17.54066,-149.89908
CT318,-17.5405,-149.89922
CT738,-17.54036,-149.89951
CT319,-17.54028,-149.89963
CT322,-17.5402,-149.89975
CT321,-17.54012,-149.89992
CT324,-17.54007,-149.89999
CT352,-17.54004,-149.90012
CT355,-17.54011,-149.90016
CT326,-17.54016,-149.90021
CT740,-17.54024,-149.90018
CT340,-17.54029,-149.90015
CT346,-17.5404,-149.9001
CT349,-17.54038,-149.89998
CT331,-17.54045,-149.89987
CT347,-17.54038,-149.8998
CT342,-17.54043,-149.89972
CT345,-17.54051,-149.89964
CT320,-17.54061,-149.89957
CT330,-17.54072,-149.89943
CT323,-17.54082,-149.89931
CT332,-17.5409,-149.89911
