date,PAR,Temperature
2022-03-20T19:01:31Z,80.35232,28.558
2022-03-20T19:03:31Z,85.90449,28.582
2022-03-20T19:05:31Z,107.04486,28.599
2022-03-20T19:07:31Z,140.04825,28.615
2022-03-20T19:09:31Z,146.38076,28.64
2022-03-20T19:11:31Z,102.15536,28.64
2022-03-20T19:13:31Z,94.75143,28.697
2022-03-20T19:15:31Z,96.83233,28.713
2022-03-20T19:17:31Z,97.5848,28.73
2022-03-20T19:19:31Z,94.38913,28.746
2022-03-20T19:21:31Z,95.01464,28.77
2022-03-20T19:23:31Z,100.59468,28.787
2022-03-20T19:25:31Z,116.73717,28.819
2022-03-20T19:27:31Z,111.62471,28.844
2022-03-20T19:29:31Z,145.40534,28.852
2022-03-20T19:31:31Z,160.64982,28.868
2022-03-20T19:33:31Z,157.52537,28.909
2022-03-20T19:35:31Z,142.90949,28.917
2022-03-20T19:37:31Z,152.4222,28.942
2022-03-20T19:39:31Z,119.39404,28.942
2022-03-20T19:41:31Z,115.4459,28.958
2022-03-20T19:43:31Z,126.91874,28.983
2022-03-20T19:45:31Z,140.65828,29.007
2022-03-20T19:47:31Z,178.22913,29.023
2022-03-20T19:49:31Z,212.46805,29.04
2022-03-20T19:51:31Z,153.88998,29.048
2022-03-20T19:53:31Z,169.81571,29.064
2022-03-20T19:55:31Z,304.52328,29.08
2022-03-20T19:57:31Z,221.70825,29.097
2022-03-20T19:59:31Z,325.24562,29.097
2022-03-20T20:01:31Z,198.4622,29.113
2022-03-20T20:03:31Z,167.15884,29.146
2022-03-20T20:05:31Z,138.54021,29.129
2022-03-20T20:07:31Z,121.86821,29.162
2022-03-20T20:09:31Z,132.62264,29.178
2022-03-20T20:11:31Z,135.06275,29.154
2022-03-20T20:13:31Z,124.88428,29.186
2022-03-20T20:15:31Z,163.32217,29.194
2022-03-20T20:17:31Z,177.23822,29.211
2022-03-20T20:19:31Z,140.70782,29.219
2022-03-20T20:21:31Z,176.06771,29.235
2022-03-20T20:23:31Z,207.8015,29.235
2022-03-20T20:25:31Z,170.78804,29.235
2022-03-20T20:27:31Z,190.65881,29.268
2022-03-20T20:29:31Z,199.95475,29.276
2022-03-20T20:31:31Z,226.94458,29.3
2022-03-20T20:33:31Z,231.62042,29.3
2022-03-20T20:35:31Z,183.03193,29.308
2022-03-20T20:37:31Z,253.42036,29.317
2022-03-20T20:39:31Z,232.66706,29.333
2022-03-20T20:41:31Z,198.97623,29.357
2022-03-20T20:43:31Z,228.08412,29.349
2022-03-20T20:45:31Z,291.89232,29.39
2022-03-20T20:47:31Z,291.3659,29.398
2022-03-20T20:49:31Z,275.13051,29.414
2022-03-20T20:51:31Z,266.32073,29.406
2022-03-20T20:53:31Z,310.6669,29.438
2022-03-20T20:55:31Z,293.09379,29.438
2022-03-20T20:57:31Z,352.43362,29.447
2022-03-20T20:59:31Z,414.49844,29.455
2022-03-20T21:01:31Z,363.86621,29.487
2022-03-20T21:03:31Z,378.72052,29.503
2022-03-20T21:05:31Z,414.02776,29.503
2022-03-20T21:07:31Z,444.32783,29.503
2022-03-20T21:09:31Z,340.07825,29.495
2022-03-20T21:11:31Z,385.31624,29.511
2022-03-20T21:13:31Z,399.74013,29.528
2022-03-20T21:15:31Z,393.57793,29.544
2022-03-20T21:17:31Z,363.37695,29.56
2022-03-20T21:19:31Z,377.18152,29.584
2022-03-20T21:21:31Z,413.72739,29.601
2022-03-20T21:23:31Z,351.59754,29.617
2022-03-20T21:25:31Z,345.82242,29.633
2022-03-20T21:27:31Z,381.21636,29.633
2022-03-20T21:29:31Z,435.33226,29.649
2022-03-20T21:31:31Z,329.95242,29.649
2022-03-20T21:33:31Z,325.61101,29.649
2022-03-20T21:35:31Z,355.00688,29.666
2022-03-20T21:37:31Z,414.0835,29.633
2022-03-20T21:39:31Z,385.65377,29.666
2022-03-20T21:41:31Z,296.89949,29.666
2022-03-20T21:43:31Z,335.89167,29.666
2022-03-20T21:45:31Z,418.06571,29.674
2022-03-20T21:47:31Z,538.95013,29.69
2022-03-20T21:49:31Z,357.23952,29.674
2022-03-20T21:51:31Z,451.26418,29.633
2022-03-20T21:53:31Z,381.03676,29.641
2022-03-20T21:55:31Z,324.54579,29.601
2022-03-20T21:57:31Z,812.76243,29.625
2022-03-20T21:59:31Z,380.79833,29.641
2022-03-20T22:01:31Z,1000.62595,29.633
2022-03-20T22:03:31Z,333.61878,29.649
2022-03-20T22:05:31Z,1412.31053,29.674
2022-03-20T22:07:31Z,450.17418,29.666
2022-03-20T22:09:31Z,659.47226,29.698
2022-03-20T22:11:31Z,608.64494,29.714
2022-03-20T22:13:31Z,403.53963,29.73
2022-03-20T22:15:31Z,860.25163,29.722
2022-03-20T22:17:31Z,288.2786,29.73
2022-03-20T22:19:31Z,312.9367,29.738
2022-03-20T22:21:31Z,441.65858,29.755
2022-03-20T22:23:31Z,1623.16929,29.763
2022-03-20T22:25:31Z,223.13578,29.771
2022-03-20T22:27:31Z,1342.07692,29.779
2022-03-20T22:29:31Z,1290.62099,29.795
2022-03-20T22:31:31Z,1167.37078,29.803
2022-03-20T22:33:31Z,1122.2164,29.795
2022-03-20T22:35:31Z,1173.2419,29.827
2022-03-20T22:37:31Z,1272.20561,29.868
2022-03-20T22:39:31Z,1197.36738,29.852
2022-03-20T22:41:31Z,1166.24982,29.9
2022-03-20T22:43:31Z,1000.78078,29.925
2022-03-20T22:45:31Z,1197.59653,29.941
2022-03-20T22:47:31Z,1248.15445,29.973
2022-03-20T22:49:31Z,1235.31292,29.981
2022-03-20T22:51:31Z,1246.79195,29.997
2022-03-20T22:53:31Z,1063.86128,30.021
2022-03-20T22:55:31Z,1224.66067,30.038
2022-03-20T22:57:31Z,1223.85865,30.054
2022-03-20T22:59:31Z,1138.23193,30.078
2022-03-20T23:01:31Z,1064.83671,30.086
2022-03-20T23:03:31Z,1156.08373,30.11
2022-03-20T23:05:31Z,1168.29046,30.118
2022-03-20T23:07:31Z,372.79366,30.118
2022-03-20T23:09:31Z,810.9757,30.151
2022-03-20T23:11:31Z,203.85026,30.183
2022-03-20T23:13:31Z,991.77282,30.207
2022-03-20T23:15:31Z,1036.7507,30.215
2022-03-20T23:17:31Z,1136.25012,30.239
2022-03-20T23:19:31Z,1158.96665,30.263
2022-03-20T23:21:31Z,331.90637,30.288
2022-03-20T23:23:31Z,1065.30429,30.288
2022-03-20T23:25:31Z,145.75835,30.312
2022-03-20T23:27:31Z,180.84264,30.296
2022-03-20T23:29:31Z,309.16196,30.32
2022-03-20T23:31:31Z,174.59993,30.312
2022-03-20T23:33:31Z,185.78479,30.304
2022-03-20T23:35:31Z,263.25202,30.32
