"","date","TempInSitu","AbsPressure","Depth","LoggerID"
"1",2022-03-22 15:30:00,29.853,108.377,0.678,"Pressure_872_VSled_20220322"
"2",2022-03-22 15:32:00,29.853,108.49,0.689,"Pressure_872_VSled_20220322"
"3",2022-03-22 15:34:00,29.853,108.766,0.716,"Pressure_872_VSled_20220322"
"4",2022-03-22 15:36:00,29.652,108.728,0.713,"Pressure_872_VSled_20220322"
"5",2022-03-22 15:38:00,29.652,109.165,0.756,"Pressure_872_VSled_20220322"
"6",2022-03-22 15:40:00,29.752,108.358,0.676,"Pressure_872_VSled_20220322"
"7",2022-03-22 15:42:00,29.652,108.744,0.714,"Pressure_872_VSled_20220322"
"8",2022-03-22 15:44:00,29.552,108.595,0.699,"Pressure_872_VSled_20220322"
"9",2022-03-22 15:46:00,29.652,108.631,0.703,"Pressure_872_VSled_20220322"
"10",2022-03-22 15:48:00,29.552,108.466,0.686,"Pressure_872_VSled_20220322"
"11",2022-03-22 15:50:00,29.452,108.058,0.646,"Pressure_872_VSled_20220322"
"12",2022-03-22 15:52:00,29.452,108.317,0.672,"Pressure_872_VSled_20220322"
"13",2022-03-22 15:54:00,29.452,108.188,0.659,"Pressure_872_VSled_20220322"
"14",2022-03-22 15:56:00,29.352,108.315,0.671,"Pressure_872_VSled_20220322"
"15",2022-03-22 15:58:00,29.352,108.234,0.663,"Pressure_872_VSled_20220322"
"16",2022-03-22 16:00:00,29.252,108.296,0.67,"Pressure_872_VSled_20220322"
"17",2022-03-22 16:02:00,29.152,108.26,0.666,"Pressure_872_VSled_20220322"
"18",2022-03-22 16:04:00,29.252,108.684,0.708,"Pressure_872_VSled_20220322"
"19",2022-03-22 16:06:00,29.152,108.39,0.679,"Pressure_872_VSled_20220322"
"20",2022-03-22 16:08:00,29.152,107.888,0.629,"Pressure_872_VSled_20220322"
"21",2022-03-22 16:10:00,29.053,108.355,0.675,"Pressure_872_VSled_20220322"
"22",2022-03-22 16:12:00,29.053,108.76,0.716,"Pressure_872_VSled_20220322"
"23",2022-03-22 16:14:00,28.953,107.899,0.63,"Pressure_872_VSled_20220322"
"24",2022-03-22 16:16:00,28.853,107.945,0.635,"Pressure_872_VSled_20220322"
"25",2022-03-22 16:18:00,28.853,108.982,0.738,"Pressure_872_VSled_20220322"
"26",2022-03-22 16:20:00,29.053,108.501,0.69,"Pressure_872_VSled_20220322"
"27",2022-03-22 16:22:00,28.853,108.56,0.696,"Pressure_872_VSled_20220322"
"28",2022-03-22 16:24:00,28.853,108.074,0.647,"Pressure_872_VSled_20220322"
"29",2022-03-22 16:26:00,28.853,108.252,0.665,"Pressure_872_VSled_20220322"
"30",2022-03-22 16:28:00,28.853,108.236,0.664,"Pressure_872_VSled_20220322"
"31",2022-03-22 16:30:00,28.754,107.991,0.639,"Pressure_872_VSled_20220322"
"32",2022-03-22 16:32:00,28.754,108.234,0.663,"Pressure_872_VSled_20220322"
"33",2022-03-22 16:34:00,28.655,108.312,0.671,"Pressure_872_VSled_20220322"
"34",2022-03-22 16:36:00,28.655,108.296,0.67,"Pressure_872_VSled_20220322"
