Latitude,Longitude,Serial
-17.51652799,-149.912535,Cabral Sled
-17.51604603,-149.91316,CT_320_052421
-17.51588803,-149.913295,CT_321_052421
-17.51567303,-149.913173,CT_322_052421
-17.51644199,-149.9129,CT_325_052421
-17.51608601,-149.913056,CT_327_052421
-17.51572198,-149.913277,CT_329_052421
-17.51660904,-149.912721,CT_332_052421
-17.51609196,-149.912929,CT_334_052421
-17.51667299,-149.91257,CT_335_052421
-17.51611501,-149.91256,CT_336_052421
-17.51670501,-149.91313,CT_337_052421
-17.516128,-149.912702,CT_338_052421
-17.51598501,-149.913335,CT_339_052421
-17.51652497,-149.912555,CT_341_052421
-17.51633897,-149.91291,CT_343_052421
-17.51683502,-149.912627,CT_345_052421
-17.51682999,-149.912827,CT_354_052421
-17.51642698,-149.913222,CT_355_052421
-17.51628198,-149.912866,CT_740_052421
