Serial,Latitude,Longitude
CT_316,-17.539829,-149.900682
CT_321,-17.540018,-149.900126
CT_326,-17.539674,-149.900594
CT_327,-17.540271,-149.899622
CT_331,-17.5408,-149.898791
CT_334,-17.540425,-149.900082
CT_336,-17.540577,-149.899613
CT_337,-17.540325,-149.900494
CT_339,-17.540904,-149.899044
CT_343,-17.540483,-149.899728
CT_344,-17.540349,-149.899436
CT_345,-17.540801,-149.898872
CT_352,-17.540434,-149.899703
CT_354,-17.540602,-149.899882
CT_355,-17.540204,-149.900387
CT_738,-17.540126,-149.900216
CT_740,-17.53999,-149.900693
