type	time	latitude	longitude	altitude (m)	eos	color	opacity	width	sym	name	desc	point_type
W	2021-05-21 21:51:22	-17.540602000	-149.899882000	17.6					Flag, Blue	CT354B		Blue Flag
W	2021-05-19 23:26:00	-17.539829000	-149.900682000	12.4					Flag, Blue	CT316B		Blue Flag
W	2021-05-19 22:22:00	-17.540737000	-149.899572000	14.7					Flag, Blue	CT318B		Blue Flag
W	2021-05-19 22:28:00	-17.540453000	-149.899517000	11.9					Flag, Blue	CT320B		Blue Flag
W	2021-05-19 23:11:00	-17.540018000	-149.900126000	12.4					Flag, Blue	CT321B		Blue Flag
W	2021-05-19 23:30:00	-17.539674000	-149.900594000	11.6					Flag, Blue	CT326B		Blue Flag
W	2021-05-19 22:35:00	-17.540271000	-149.899622000	13.4					Flag, Blue	CT327B		Blue Flag
W	2021-05-19 22:08:00	-17.540800000	-149.898791000	14.5					Flag, Blue	CT331B		Blue Flag
W	2021-05-19 22:51:00	-17.540425000	-149.900082000	10.8					Flag, Blue	CT334B		Blue Flag
W	2021-05-19 22:25:00	-17.540577000	-149.899613000	10.6					Flag, Blue	CT336B		Blue Flag
W	2021-05-19 22:57:00	-17.540325000	-149.900494000	12.4					Flag, Blue	CT337B		Blue Flag
W	2021-05-19 22:15:00	-17.540904000	-149.899044000	15.6					Flag, Blue	CT339B		Blue Flag
W	2021-05-19 22:44:00	-17.540483000	-149.899728000	12.7					Flag, Blue	CT343B		Blue Flag
W	2021-05-19 22:32:00	-17.540349000	-149.899436000	11.8					Flag, Blue	CT344B		Blue Flag
W	2021-05-19 22:11:00	-17.540801000	-149.898872000	13.6					Flag, Blue	CT345B		Blue Flag
W	2021-05-19 22:05:00	-17.540746000	-149.898729000	13.5					Flag, Blue	CT346B		Blue Flag
W	2021-05-19 22:40:00	-17.540434000	-149.899703000	12.2					Flag, Blue	CT352B		Blue Flag
W	2021-05-19 23:02:00	-17.540204000	-149.900387000	12.9					Flag, Blue	CT355B		Blue Flag
W	2021-05-19 23:07:00	-17.540126000	-149.900216000	9.8					Flag, Blue	CT738B		Blue Flag
W	2021-05-19 23:22:00	-17.539990000	-149.900693000	12.5					Flag, Blue	CT740B		Blue Flag
