Date,Time,Conductivity_C-us/cm,Salinity_SAL-PSU,Temperature_C
2021_07_23,20:00,56888,36.87,26.2
2021_07_23,20:15,56007,35.79,26.8
2021_07_23,20:30,57291,36.54,27.0
2021_07_23,21:20,56554,36.31,26.6
